time_ms,motor,pwm,speedA,speedB
100,A,100,0,0
200,A,100,0,0
300,A,100,0,0
400,A,100,0,0
500,A,100,0,0
600,A,100,0,0
700,A,100,0,0
800,A,100,0,0
900,A,100,0,0
1000,A,100,0,0
1100,A,100,0,0
1200,A,100,0,0
1300,A,100,0,0
1400,A,100,0,0
1500,A,100,0,0
1600,A,100,0,0
1700,A,100,0,0
1800,A,100,0,0
1900,A,100,0,0
2000,A,100,0,0
2100,A,100,0,0
2200,A,100,0,0
2300,A,100,0,0
2400,A,100,0,0
2500,A,100,0,0
2600,A,100,0,0
2700,A,100,0,0
2800,A,100,0,0
2900,A,100,0,0
3000,A,100,0,0
3100,A,100,0,0
3200,A,100,0,0
3300,A,100,0,0
3400,A,100,0,0
3500,A,100,0,0
3600,A,100,0,0
3700,A,100,0,0
3800,A,100,0,0
3900,A,100,0,0
4000,A,100,0,0
4100,A,100,0,0
4200,A,100,0,0
4300,A,100,0,0
4400,A,100,0,0
4500,A,100,0,0
4600,A,100,0,0
4700,A,100,0,0
4800,A,100,0,0
4900,A,100,0,0
8000,A,110,0,0
8100,A,110,0,0
8200,A,110,0,0
8300,A,110,0,0
8400,A,110,0,0
8500,A,110,0,0
8600,A,110,0,0
8700,A,110,0,0
8800,A,110,0,0
8900,A,110,0,0
9000,A,110,0,0
9100,A,110,0,0
9200,A,110,0,0
9300,A,110,0,0
9400,A,110,0,0
9500,A,110,0,0
9600,A,110,0,0
9700,A,110,0,0
9800,A,110,0,0
9900,A,110,0,0
10000,A,110,0,0
10100,A,110,0,0
10200,A,110,0,0
10300,A,110,0,0
10400,A,110,0,0
10500,A,110,0,0
10600,A,110,0,0
10700,A,110,0,0
10800,A,110,0,0
10900,A,110,0,0
11000,A,110,0,0
11100,A,110,0,0
11200,A,110,0,0
11300,A,110,0,0
11400,A,110,0,0
11500,A,110,0,0
11600,A,110,0,0
11700,A,110,0,0
11800,A,110,0,0
11900,A,110,0,0
12000,A,110,0,0
12100,A,110,0,0
12200,A,110,0,0
12300,A,110,0,0
12400,A,110,0,0
12500,A,110,0,0
12600,A,110,0,0
12700,A,110,0,0
12800,A,110,0,0
12900,A,110,0,0
16000,A,120,0,0
16100,A,120,3,0
16200,A,120,5,0
16300,A,120,8,0
16400,A,120,9,0
16500,A,120,8,0
16600,A,120,10,0
16700,A,120,9,0
16800,A,120,9,0
16900,A,120,8,0
17000,A,120,10,0
17100,A,120,8,0
17200,A,120,8,0
17300,A,120,10,0
17400,A,120,9,0
17500,A,120,7,0
17600,A,120,9,0
17700,A,120,7,0
17800,A,120,7,0
17900,A,120,8,0
18000,A,120,8,0
18100,A,120,6,0
18200,A,120,8,0
18300,A,120,11,0
18400,A,120,8,0
18500,A,120,9,0
18600,A,120,10,0
18700,A,120,7,0
18800,A,120,9,0
18900,A,120,9,0
19000,A,120,10,0
19100,A,120,8,0
19200,A,120,7,0
19300,A,120,10,0
19400,A,120,8,0
19500,A,120,9,0
19600,A,120,9,0
19700,A,120,9,0
19800,A,120,10,0
19900,A,120,7,0
20000,A,120,9,0
20100,A,120,9,0
20200,A,120,9,0
20300,A,120,9,0
20400,A,120,7,0
20500,A,120,8,0
20600,A,120,8,0
20700,A,120,9,0
20800,A,120,8,0
20900,A,120,7,0
24000,A,130,20,0
24100,A,130,3,0
24200,A,130,6,0
24300,A,130,8,0
24400,A,130,11,0
24500,A,130,7,0
24600,A,130,10,0
24700,A,130,9,0
24800,A,130,8,0
24900,A,130,8,0
25000,A,130,7,0
25100,A,130,9,0
25200,A,130,7,0
25300,A,130,9,0
25400,A,130,9,0
25500,A,130,8,0
25600,A,130,8,0
25700,A,130,9,0
25800,A,130,8,0
25900,A,130,10,0
26000,A,130,7,0
26100,A,130,10,0
26200,A,130,7,0
26300,A,130,9,0
26400,A,130,8,0
26500,A,130,8,0
26600,A,130,8,0
26700,A,130,10,0
26800,A,130,10,0
26900,A,130,7,0
27000,A,130,10,0
27100,A,130,10,0
27200,A,130,8,0
27300,A,130,10,0
27400,A,130,9,0
27500,A,130,11,0
27600,A,130,9,0
27700,A,130,8,0
27800,A,130,11,0
27900,A,130,8,0
28000,A,130,9,0
28100,A,130,10,0
28200,A,130,9,0
28300,A,130,8,0
28400,A,130,10,0
28500,A,130,10,0
28600,A,130,10,0
28700,A,130,8,0
28800,A,130,8,0
28900,A,130,10,0
