time_ms,motor,pwm,speedA,speedB
6123,A,110,0,0
6133,A,110,0,0
6143,A,110,0,0
6153,A,110,0,0
6163,A,110,0,0
6173,A,110,0,0
6183,A,110,0,0
6193,A,110,0,0
6203,A,110,0,0
6213,A,110,0,0
6223,A,110,0,0
6233,A,110,0,0
6243,A,110,0,0
6253,A,110,0,0
6263,A,110,0,0
6273,A,110,0,0
6283,A,110,0,0
6293,A,110,0,0
6303,A,110,0,0
6427,A,110,0,0
6437,A,110,0,0
6447,A,110,0,0
6457,A,110,0,0
6467,A,110,0,0
6477,A,110,0,0
6487,A,110,0,0
6497,A,110,0,0
6507,A,110,0,0
6517,A,110,0,0
6527,A,110,0,0
6537,A,110,0,0
6547,A,110,0,0
6557,A,110,0,0
6567,A,110,0,0
6577,A,110,0,0
6587,A,110,0,0
6712,A,110,0,0
6723,A,110,0,0
6733,A,110,0,0
6743,A,110,0,0
6753,A,110,0,0
6763,A,110,0,0
6773,A,110,0,0
6783,A,110,0,0
6793,A,110,0,0
6803,A,110,0,0
6813,A,110,0,0
6823,A,110,0,0
6833,A,110,0,0
6843,A,110,0,0
6853,A,110,0,0
6863,A,110,0,0
6873,A,110,0,0
6883,A,110,0,0
7007,A,110,0,0
7017,A,110,0,0
7027,A,110,0,0
7037,A,110,0,0
7047,A,110,0,0
7057,A,110,0,0
7067,A,110,0,0
7077,A,110,0,0
7087,A,110,0,0
7097,A,110,0,0
7107,A,110,0,0
7117,A,110,0,0
7127,A,110,0,0
7137,A,110,0,0
7147,A,110,0,0
7157,A,110,0,0
7167,A,110,0,0
7292,A,110,0,0
7303,A,110,0,0
7313,A,110,0,0
7323,A,110,0,0
7333,A,110,0,0
7343,A,110,0,0
7353,A,110,0,0
7363,A,110,0,0
7373,A,110,0,0
7383,A,110,0,0
7393,A,110,0,0
7403,A,110,0,0
7413,A,110,0,0
7423,A,110,0,0
7433,A,110,0,0
7443,A,110,0,0
7453,A,110,0,0
7577,A,110,0,0
7587,A,110,0,0
7597,A,110,0,0
7607,A,110,0,0
7617,A,110,0,0
7627,A,110,0,0
7637,A,110,0,0
7647,A,110,0,0
7657,A,110,0,0
7667,A,110,0,0
7677,A,110,0,0
7687,A,110,0,0
7697,A,110,0,0
7707,A,110,0,0
7717,A,110,0,0
7727,A,110,0,0
7737,A,110,0,0
7861,A,110,0,0
7871,A,110,0,0
7881,A,110,0,0
7891,A,110,0,0
7901,A,110,0,0
